Gene	Blattner
EG10452	b2306
EG10512	b3617
EG10536	b3454
EG10537	b3455
EG10582	b3939
EG10701	b0903
EG10708	b0576
EG10800	b1658
EG10801	b1014
EG10930	b1814
EG10989	b3118
EG10990	b3117
EG10992	b3119
EG10993	b3616
EG11005	b3708
EG11149	b2479
EG11241	b0897
EG11276	b3707
EG11407	b1189
EG11408	b1190
EG11442	b2905
EG11623	b2797
EG11627	b0861
EG11795	b2808
EG11810	b2903
EG12168	b0401
EG12304	b1291
EG12305	b1290
EG12407	b0828
EG12504	b4208
EG12627	b3541
EG12628	b3540
EG12834	b3268
EG13139	b1386
EG13161	b2364
G2002	b1294
G6233	b0402
G6262	b0486
G6378	b0709
G6706	b1384
G6940	b1744
G6941	b1745
G6942	b1746
G6943	b1747
G6944	b1748
G7624	b4471
G7627	b3114
EG10036	b1300
EG10635	b0679
EG10749	b1126
EG10750	b1125
EG10751	b1124
EG10752	b1123
EG10753	b0692
EG11558	b0037
EG11629	b0854
EG11630	b0855
EG11631	b0856
EG11632	b0857
EG11822	b1301
EG12190	b2437
EG12423	b0368
EG12608	b0035
EG50006	b2441
EG50007	b2440
G6088	b0034
G6217	b0365
G6218	b0366
G6219	b0367
G6644	b1297
G6645	b1298
G6646	b1302
G7270	b2438
G7271	b2439
G7281	b2451
G7282	b2452
G7283	b2453
G7284	b2454
G7285	b2455
G7288	b2458
G7289	b2459
G7290	b2460
G7291	b2461
G7292	b2462
G7596	b3073
G7961	b1385
G6275	b0505
G6281	b0512
G6285	b0516
G6286	b0517
G6782	b1488
EG10572	b2781
EG11237	b3338
G6576	b1119
EG10743	b3164
EG10844	b3780
EG10856	b0611
EG10857	b2567
EG10858	b1804
EG10859	b1084
EG10860	b0214
EG10861	b0183
EG10862	b3704
EG10863	b3643
EG11259	b4179
EG11547	b1652
EG11620	b1286
EG30069	b3123
G7175	b2268
G7365	b2630
EG10459	b4350
EG10574	b4346
EG10575	b4345
EG10651	b2159
EG10662	b1633
EG10824	b2820
EG10825	b2822
EG10826	b2819
EG10827	b1350
EG10830	b2892
EG10926	b2011
EG10927	b0397
EG11062	b0779
EG11063	b1913
EG11072	b2509
EG11073	b1749
EG11094	b0398
EG11098	b0422
EG11336	b2945
EG11915	b3998
EG12372	b2798
G6306	b0550
G7016	b1844
EG10020	b3912
EG10156	b0882
EG10157	b2592
EG10158	b0437
EG10159	b0438
EG10163	b3911
EG10212	b1538
EG10435	b4175
EG10436	b4174
EG10437	b4173
EG10463	b0161
EG10542	b0439
EG10673	b0565
EG10694	b4260
EG10695	b0237
EG10696	b0932
EG10697	b2908
EG10698	b3847
EG10760	b1830
EG10786	b2821
EG10956	b1272
EG10968	b1766
EG11004	b1845
EG11112	b0885
EG11171	b3064
EG11359	b3335
EG11441	b3498
EG11506	b3178
EG11549	b1127
EG11652	b3235
EG11676	b3932
EG11881	b3931
EG11920	b4021
EG12121	b1235
EG12310	b2523
EG12436	b0176
G2000	b1292
G2001	b1293
G6452	b0867
G6463	b0881
G6621	b1192
G6662	b1326
G7248	b2385
G7652	b3158
G7682	b3234
G7925	b4328
EG11862	b3898
EG12258	b3531
G6647	b1309
EG10337	b2168
EG10258	b2779
EG10338	b0080
EG10367	b1779
EG10702	b4025
EG10703	b2926
EG10803	b1854
EG10804	b1676
EG11015	b3919
EG11088	b0113
EG11699	b0755
EG12164	b4395
G7129	b2097
G6397	b0767
EG10356	b1612
EG10357	b4122
EG10358	b1611
EG10402	b0720
EG10489	b1136
EG10756	b3956
EG10931	b0723
EG10932	b0724
EG10933	b0721
EG10934	b0722
EG10979	b0726
EG10980	b0727
EG10981	b0728
EG10982	b0729
EG11109	b0730
EG11325	b1276
EG12069	b2210
EG10008	b4003
EG10031	b1241
EG10285	b4079
EG10301	b2731
EG10330	b4154
EG10331	b4153
EG10332	b4152
EG10333	b4151
EG10474	b2725
EG10475	b2724
EG10476	b2723
EG10477	b2722
EG10478	b2721
EG10479	b2720
EG10480	b2719
EG10481	b2718
EG10482	b4004
EG10484	b2727
EG11091	b0239
EG11168	b3061
EG11169	b3062
EG50010	b0356
G592	b1380
EG10062	b3210
EG10178	b0432
EG10179	b0431
EG10180	b0430
EG10181	b0429
EG10182	b0428
EG10231	b2133
EG10394	b3426
EG10401	b2240
EG10468	b0972
EG10469	b0973
EG10470	b0974
EG10471	b0975
EG10472	b0976
EG10473	b0977
EG10649	b1109
EG11044	b2311
EG11046	b3452
EG11047	b3453
EG11048	b3450
EG11049	b3451
EG11143	b2232
EG11324	b2907
EG11370	b4040
EG11473	b3833
EG11476	b3835
EG11773	b2277
EG11774	b2284
EG11962	b3604
EG11963	b3605
EG12078	b3479
EG12079	b3480
EG12082	b2288
EG12083	b2287
EG12084	b2286
EG12086	b2285
EG12087	b2283
EG12088	b2282
EG12089	b2281
EG12090	b2280
EG12091	b2279
EG12092	b2278
EG12093	b2276
EG12123	b2289
EG12332	b0156
EG12697	b2895
EG10028	b0902
EG10232	b0894
EG10233	b0895
EG10234	b0896
EG10246	b0211
EG10284	b3891
EG10325	b1334
EG10391	b2241
EG10392	b2242
EG10393	b2243
EG10395	b3425
EG10400	b3423
EG10483	b2726
EG10485	b2728
EG10486	b2729
EG10487	b2730
EG10579	b2264
EG10638	b1224
EG10639	b1225
EG10640	b1227
EG10641	b1226
EG10643	b1221
EG10644	b1465
EG10645	b1466
EG10646	b1222
EG10647	b1467
EG10648	b1468
EG10653	b3365
EG10655	b3366
EG11150	b2481
EG11227	b1474
EG11228	b1475
EG11229	b1476
EG11261	b0851
EG11282	b2482
EG11368	b2262
EG11460	b2469
EG11527	b2193
EG11532	b2261
EG11551	b2712
EG11552	b2713
EG11781	b4070
EG11784	b2579
EG11800	b2995
EG11801	b2994
EG11802	b2993
EG11804	b2991
EG11805	b2990
EG11814	b0997
EG11815	b0996
EG11856	b3892
EG11857	b3893
EG11858	b3894
EG11859	b3895
EG11880	b3930
EG11910	b3951
EG11911	b3952
EG11945	b4071
EG11946	b4072
EG11947	b4073
EG11948	b4074
EG11949	b4075
EG11950	b4076
EG12060	b2202
EG12061	b2203
EG12062	b2204
EG12064	b2205
EG12067	b2206
EG12068	b2208
EG12362	b2265
EG12437	b2260
EG12615	b0995
G6427	b0824
G6514	b0993
G6515	b0994
G6775	b1478
G7022	b1872
G7023	b1873
G7300	b2483
G7301	b2484
G7302	b2485
G7303	b2486
G7304	b2487
G7305	b2488
G7306	b2489
G7308	b2491
G7554	b2997
G7826	b4124
G7827	b4125
G7953	b4379
EG10098	b3734
EG10099	b3738
EG10100	b3731
EG10101	b3732
EG10102	b3737
EG10103	b3736
EG10104	b3733
EG10105	b3735
EG10106	b3739
EG12215	b3469
EG12525	b4242
G377	b1941
EG10257	b1851
EG12630	b3438
EG11562	b0041
EG11563	b0042
EG10318	b0684
EG11799	b2996
EG12656	b3028
EG10173	b0733
EG10174	b0734
EG11379	b0979
EG11380	b0978
EG11560	b0039
G6845	b1587
G6846	b1588
G6847	b1589
G6848	b1590
G6849	b1591
EG10172	b1418
EG10334	b3844
EG11328	b2525
EG11492	b4051
EG12450	b2711
EG50008	b4236
G7413	b2710
EG11517	b3925
EG10372	b1761
EG10403	b3212
EG10404	b3213
EG10405	b4077
EG10406	b3653
EG11514	b3214
EG12661	b0654
EG12662	b0653
EG12663	b0652
G6359	b0655
G6455	b0870
EG10944	b2913
EG10945	b4388
EG10946	b0907
EG11469	b3824
EG12142	b2796
EG12732	b3089
EG10184	b1275
EG10187	b3607
EG10192	b2414
EG10193	b2421
G7071	b1987
EG10079	b0754
EG10084	b0112
EG10707	b2599
EG11039	b2600
EG11040	b4054
EG11271	b2598
EG11041	b1907
EG10080	b1704
EG10617	b3161
EG11006	b3709
EG11024	b1260
EG11025	b1261
EG11026	b1262
EG11027	b1263
EG11028	b1264
EG11029	b4393
EG11274	b1265
EG10444	b2024
EG10445	b2022
EG10446	b2021
EG10447	b2020
EG10448	b2025
EG10449	b2019
EG10450	b2023
EG10451	b2026
EG11269	b2018
EG12124	b2309
EG10001	b4053
EG10107	b3572
EG10497	b3770
EG10493	b3772
EG10494	b3671
EG10495	b3774
EG10496	b3771
EG10499	b0078
EG10500	b0077
EG10501	b3769
EG10502	b3670
EG10503	b3773
EG10538	b3457
EG10539	b3460
EG10541	b3456
EG10547	b0889
EG11270	b3766
EG11275	b3672
G7038	b1919
EG10531	b0076
EG10540	b3458
EG11226	b0074
EG11280	b0075
EG11575	b0071
EG11576	b0072
EG11577	b0073
EG10383	b3870
EG10384	b2553
EG10385	b3868
EG10386	b0811
EG10387	b3869
EG10388	b0810
EG10389	b0809
EG11411	b0167
EG11625	b0863
EG10073	b0908
EG10074	b3389
EG10075	b2329
EG10076	b1693
EG10077	b3281
EG10078	b2601
EG10081	b3390
EG10082	b0388
EG11234	b1692
G7067	b1981
EG10088	b3433
EG10550	b4024
EG10590	b3940
EG10998	b0002
EG10007	b2307
EG10063	b2818
EG10064	b3959
EG10065	b3958
EG10066	b3359
EG10067	b0273
EG10068	b3172
EG10069	b4254
EG10070	b3237
EG10072	b2310
EG10134	b0032
EG10135	b0033
EG11223	b3960
EG11286	b3957
EG11624	b0864
EG11626	b0862
EG11628	b0860
EG12125	b2308
G6188	b0323
EG10767	b0243
EG10768	b0242
EG10769	b0386
EG10771	b2677
EG10772	b2678
EG11612	b4111
EG10093	b3743
EG10095	b4139
G6764	b1453
EG10205	b2478
EG10206	b0031
EG10207	b0166
EG10208	b2472
EG10209	b3809
EG10549	b2838
EG10551	b2839
EG11337	b2156
EG10991	b3116
EG10999	b0003
EG11000	b0004
EG11277	b0001
EG11468	b3823
EG10581	b4013
EG10583	b3008
EG10584	b3829
EG10587	b4019
EG10588	b3938
EG10591	b3828
G6135	b0260
G6136	b0261
EG11702	b3996
EG12115	b4374
G7485	b2866
G7486	b2867
G7487	b2868
G7492	b2873
G7500	b2881
EG10420	b2507
EG10421	b2508
EG10790	b4177
EG10791	b2476
EG10792	b4005
EG10793	b0523
EG10794	b2312
EG10795	b4006
EG10796	b0522
EG10797	b2557
EG10798	b2499
EG10799	b2500
EG11314	b1131
EG11809	b1849
EG10806	b1062
EG10807	b0945
EG10808	b3642
EG10809	b1281
EG10811	b4244
EG11279	b4246
G6239	b0425
G7185	b2291
EG10032	b0474
EG10422	b0104
EG10650	b2518
EG10774	b1207
EG10965	b3648
EG11819	b1232
EG10805	b4245
EG10810	b2780
EG11265	b0910
G7324	b2529
G7431	b2765
EG10117	b0774
EG10118	b0775
EG10119	b0777
EG10120	b0778
EG10121	b0776
EG10122	b3412
EG10123	b3973
EG10124	b3551
EG11199	b3742
G6851	b1593
EG10418	b2688
EG10419	b2947
EG10017	b3187
EG10370	b2515
EG10508	b0421
EG11081	b0029
EG11294	b1208
EG11369	b4039
EG11396	b3843
EG11744	b1494
EG11816	b2746
EG12715	b0173
G6237	b0420
G6365	b0662
G7423	b2747
G7508	b2889
EG10188	b3368
EG10407	b2400
EG10427	b1210
EG10428	b0369
EG10429	b3805
EG10430	b3804
EG10431	b0475
EG10432	b0154
EG11485	b3850
EG11543	b3997
EG11688	b3660
EG11836	b3867
EG12059	b2201
EG12189	b2436
G7018	b1858
EG10127	b1711
EG10128	b1709
EG10130	b1270
EG12150	b1992
EG12151	b1991
EG13238	b1993
G6349	b0638
EG10259	b0596
EG10260	b0595
EG10261	b0593
EG10262	b0583
EG10263	b0594
EG10264	b0586
EG10326	b0048
EG10327	b2315
EG10328	b0529
EG10682	b3360
EG10683	b1812
EG11138	b1865
EG11374	b0142
EG11375	b2153
EG11493	b1096
EG11673	b3058
EG50011	b3177
G6862	b1606
EG11306	b0628
EG10152	b0765
EG10153	b0827
EG10154	b0826
EG11511	b0009
EG11595	b0781
EG11596	b0782
EG11597	b0784
EG11598	b0785
EG11666	b0783
EG11677	b0760
EG11829	b3857
EG12427	b0763
G6395	b0761
EG10004	b3639
EG10685	b3258
EG10922	b3974
EG11190	b3634
EG11675	b0134
EG11746	b0133
EG11747	b0131
EG12312	b0103
EG10368	b2927
EG10691	b0052
EG10693	b2564
EG10941	b3591
EG11487	b1638
G0-9461	b2320
EG10630	b0750
EG10631	b2574
EG10663	b1740
EG10742	b0931
EG11135	b1768
EG11335	b4390
EG11453	b3788
