Gene	Blattner
G6436	b0836
G6557	b1060
EG11252	b0923
EG11334	b3647
EG11357	b0799
EG12165	b0922
G6500	b0966
G6954	b1759
EG10235	b3702
EG10236	b4052
EG10237	b4361
EG10238	b0184
EG10239	b3066
EG10242	b3701
EG10243	b0215
EG10244	b4362
EG10245	b0470
EG10423	b2231
EG10424	b3699
EG10490	b2916
EG10686	b3019
EG10687	b3030
EG10746	b3863
EG10747	b0060
EG10763	b3935
EG10764	b4201
EG10765	b0467
EG10828	b3700
EG10829	b3652
EG10833	b3822
EG10837	b3778
EG11013	b1274
EG11014	b1763
EG11038	b1610
EG11056	b1184
EG11057	b1183
EG11064	b3813
EG11111	b0880
EG11263	b3322
EG11366	b4396
EG11412	b0640
EG11413	b4259
EG11414	b4372
EG11500	b1099
EG11505	b1842
EG11892	b2009
EG12158	b0393
EG12197	b0687
EG12690	b0892
EG12780	b3149
EG30098	b3864
G6115	b0231
G7313	b2496
G7511	b2898
EG10204	b3387
EG10211	b1961
EG10458	b4349
EG10460	b4348
EG10612	b4351
EG10668	b1335
EG11068	b1960
EG10317	b3261
EG10426	b0962
EG10440	b1712
EG10441	b0912
EG10823	b2699
EG10831	b2616
EG10832	b2565
EG10834	b0472
EG10925	b1863
EG10976	b4059
EG11069	b3811
EG11071	b2894
EG11296	b4389
EG12080	b2698
G7525	b2949
RUVA	b1861
RUVB	b1860
EG10029	b2213
EG10037	b2212
EG10329	b3635
EG10533	b4043
EG10534	b2411
EG10624	b2831
EG10625	b2733
EG10627	b2961
EG10984	b0958
EG10986	b3549
EG11058	b2580
EG11061	b4058
EG11193	b3645
EG11222	b2068
EG11281	b4170
EG11491	b4044
EG11808	b1848
EG11811	b4187
EG11871	b3385
EG12717	b3068
G6251	b0454
G6303	b0547
G6383	b0714
G6558	b1061
G6937	b1741
EG11481	b4483
G6407	b0790
EG11235	b0797
EG11554	b2669
EG12879	b0528
G0-10597	b4607
G0-10598	b4608
G0-10600	b4609
G0-10602	b4611
G0-10609	b4624
G0-8862	b4418
G0-8863	b4431
G0-8865	b4432
G0-8866	b4442
G0-8867	b4443
G0-8868	b4444
G0-8869	b4448
G0-8870	b4449
G0-8871	b4450
G0-8873	b4456
G0-8874	b4457
G0-8875	b4459
G0-8878	b4438
G0-8880	b4417
G0-8884	b4436
G0-8885	b4437
G0-8886	b4446
G0-8895	b4414
G0-8913	b4447
G0-9382	b4585
EG10044	b1739
EG10050	b0564
EG10061	b4401
EG10111	b0313
EG10125	b0435
EG10164	b3357
EG10166	b3556
EG10226	b1570
EG10268	b0566
EG10291	b4293
EG10292	b4292
EG10359	b0683
EG10415	b3181
EG10439	b0460
EG10457	b1237
EG10466	b4000
EG10467	b0440
EG10517	b0694
EG10603	b2684
EG10665	b3169
EG10666	b0416
EG10667	b3982
EG10672	b3405
EG10681	b3961
EG10731	b1130
EG10776	b1304
EG10777	b1305
EG10778	b1306
EG10836	b1564
EG10845	b3783
EG10893	b3295
EG10894	b3987
EG10895	b3988
EG10896	b3067
EG10897	b3461
EG10899	b3649
EG10935	b1916
EG10957	b4063
EG10958	b4062
EG10977	b3229
EG11042	b1323
EG11078	b0020
EG11083	b0059
EG11092	b0240
EG11103	b0535
EG11140	b1914
EG11146	b2405
EG11212	b4178
EG11218	b4398
EG11285	b2554
EG11355	b1922
EG11394	b3963
EG11434	b1531
EG11435	b1530
EG11519	b3481
EG11544	b3512
EG11578	b3406
EG11594	b0629
EG11609	b2369
EG11615	b4113
EG11618	b2079
EG11619	b1114
EG11649	b0208
EG11681	b3203
EG11694	b3674
EG11707	b3680
EG11711	b3684
EG11721	b3711
EG11738	b3995
EG11741	b3264
EG11785	b2577
EG11838	b3872
EG11849	b3884
EG11854	b3889
EG11861	b3897
EG11897	b2573
EG11913	b3954
EG11929	b4046
EG11966	b4116
EG11969	b3292
EG12008	b2127
EG12031	b2163
EG12105	b2157
EG12108	b2709
EG12112	b2624
EG12116	b0464
EG12140	b1659
EG12162	b2090
EG12176	b4135
EG12204	b1823
EG12235	b3501
EG12242	b3515
EG12243	b3516
EG12246	b3520
EG12247	b3521
EG12278	b3574
EG12289	b3585
EG12301	b1013
EG12308	b2561
EG12335	b0162
EG12341	b2572
EG12344	b1303
EG12356	b3422
EG12406	b0796
EG12428	b3782
EG12694	b3060
EG12860	b1853
G369	b1071
G6097	b0189
G6144	b0272
G6170	b0300
G6175	b0305
G6181	b0316
G6183	b0318
G6226	b0375
G6227	b0378
G6247	b0447
G6259	b0483
G6263	b0487
G6274	b0504
G6276	b0506
G6319	b0571
G6332	b0603
G6346	b0620
G6357	b0650
G6398	b0768
G6420	b0817
G6467	b0900
G6546	b1040
G6602	b1162
G6628	b1201
G6638	b1284
G6639	b1285
G6658	b1320
G6664	b1328
G6673	b1341
G6737	b1422
G6750	b1439
G6761	b1450
G6789	b1499
G6799	b1512
G6812	b1526
G6814	b1540
G6864	b1608
G6882	b1642
G6919	b1696
G6957	b1770
G6976	b1790
G6985	b1799
G7003	b1827
G7057	b1969
G7088	b2015
G7133	b2101
G7161	b2248
G7244	b2381
G7245	b2382
G7257	b2409
G7262	b2427
G7326	b2531
G7347	b2570
G7348	b2571
G7416	b2735
G7475	b2855
G7488	b2869
G7518	b2921
G7547	b2981
G7563	b3010
G7573	b3023
G7575	b3025
G7594	b3071
G7619	b3105
G7673	b3219
G7678	b3226
G7688	b3243
G7727	b3375
G7816	b4484
G7847	b4182
G7854	b4191
G7863	b4205
G7882	b4251
G7912	b4299
G7913	b4300
G7924	b4327
G7936	b4340
G8207	b2087
EG10136	b3056
EG10210	b1343
EG10215	b3162
EG10343	b3465
EG10375	b3741
EG10376	b3740
EG10454	b2318
EG10523	b0051
EG10595	b4171
EG10690	b0143
EG10812	b0405
EG10967	b3651
EG10975	b2576
EG10996	b0406
EG10997	b3706
EG11022	b3965
EG11023	b2607
EG11118	b1086
EG11177	b3166
EG11178	b3167
EG11247	b2785
EG11268	b3288
EG11299	b3247
EG11311	b3260
EG11344	b1133
EG11768	b0503
EG11779	b2960
EG11794	b2806
EG11921	b4022
EG11932	b4049
EG12022	b2140
EG12044	b2183
EG12098	b2594
EG12163	b3289
EG12207	b1822
EG12216	b3470
EG12330	b0147
EG12366	b2946
EG12401	b2517
EG12433	b1269
EG12609	b0058
EG12876	b0969
G6096	b0188
G6245	b0444
G6364	b0661
G6416	b0807
G6449	b0859
G6488	b0948
G6581	b1135
G6732	b1413
G7008	b1835
G7199	b2324
G7325	b2530
G7327	b2532
G7422	b2745
G7449	b2791
G7603	b3084
G7712	b3343
G7713	b3344
G7714	b3345
G7750	b4475
G7845	b4180
G7950	b4371
EG10438	b4172
EG11131	b1563
EG11249	b2782
EG11879	b3929
EG30100	b2621
G0-8785	b4408
G7629	b3130
G7842	b4162
G7885	b4255
G7940	b4347
EG30008	b3853
EG30009	b3276
EG30010	b0203
EG30011	b2397
EG30012	b2396
EG30013	b2691
EG30014	b0536
EG30015	b2694
EG30016	b2348
EG30017	b3796
EG30018	b2693
EG30019	b2692
EG30020	b1977
EG30021	b1986
EG30022	b1989
EG30023	b3760
EG30024	b0206
EG30025	b0216
EG30028	b0670
EG30029	b0665
EG30030	b0668
EG30031	b0664
EG30032	b3969
EG30033	b3757
EG30034	b4008
EG30035	b2590
EG30036	b3978
EG30037	b2864
EG30038	b4163
EG30039	b1911
EG30040	b4164
EG30041	b4165
EG30042	b3797
EG30043	b3852
EG30044	b3277
EG30045	b0202
EG30046	b3069
EG30047	b4369
EG30048	b4370
EG30049	b3798
EG30050	b3174
EG30051	b4368
EG30052	b0672
EG30053	b4270
EG30054	b1909
EG30055	b0743
EG30056	b2404
EG30057	b0745
EG30058	b0673
EG30059	b0666
EG30060	b2816
EG30061	b3171
EG30062	b2814
EG30064	b4134
EG30065	b2967
EG30066	b3545
EG30067	b2189
EG30068	b3799
EG30092	b3658
EG30093	b0971
EG30094	b1975
EG30095	b2695
EG30096	b0883
EG30097	b1032
EG30101	b3979
EG30102	b3976
EG30103	b3273
EG30104	b0244
EG30105	b3761
EG30106	b1231
EG30107	b3977
EG30108	b1230
EG30109	b0744
EG30110	b2401
EG30111	b1665
EG30112	b1666
EG30113	b2402
EG30114	b2403
EG31117	b2815
G6389	b0746
G6390	b0747
G6391	b0748
G6392	b0749
G7069	b1984
G7387	b2652
G7991	b1910
EG30027	b0455
EG30070	b3855
EG30071	b3971
EG30072	b3759
EG30073	b3274
EG30074	b4010
EG30075	b2588
EG30076	b0205
EG30077	b3854
EG30078	b3970
EG30079	b3758
EG30080	b3275
EG30081	b4009
EG30082	b2589
EG30083	b0204
EG30084	b3851
EG30085	b3968
EG30086	b3756
EG30087	b3278
EG30088	b4007
EG30089	b2591
EG30090	b0201
EG30091	b3272
EG30099	b2911
EG31116	b4458
G0-8876	b4430
G0-8879	b4440
G0-8881	b4416
G0-8882	b4445
G0-8883	b4433
G0-8899	b4426
G0-8904	b4434
G0-8905	b4435
G0-8914	b4452
G7047	b1954
G7698	b3282
EG30063	b4439
EG31115	b1574
G0-10610	b4625
G0-8872	b4451
G0-8901	b4427
G0-9042	b4454
EG11882	b3937
EG12396	b2067
G6339	b0613
G6790	b1500
G7307	b2490
EG10034	b2697
EG10071	b1876
EG10094	b0930
EG10097	b1866
EG10196	b0526
EG10390	b0680
EG10409	b3560
EG10410	b3559
EG10453	b2514
EG10492	b0026
EG10532	b0642
EG10552	b2890
EG10553	b4129
EG10586	b2114
EG10709	b1714
EG10710	b1713
EG10770	b0194
EG10785	b1204
EG10943	b1764
EG10947	b0893
EG11001	b1719
EG11030	b3384
EG11043	b1637
EG11067	b4258
EG11272	b1715
EG11362	b0144
G7418	b2737
EG10230	b0145
EG10335	b0172
EG10360	b3340
EG10504	b0884
EG10505	b3168
EG10506	b1718
EG10529	b2569
EG10761	b1211
EG10762	b2891
EG10864	b3984
EG10865	b3317
EG10866	b3320
EG10867	b3319
EG10868	b3308
EG10869	b3305
EG10870	b4203
EG10871	b3985
EG10872	b3983
EG10873	b3986
EG10874	b3231
EG10875	b3310
EG10876	b3301
EG10877	b3313
EG10878	b3294
EG10879	b3304
EG10880	b2606
EG10881	b1716
EG10882	b3315
EG10883	b3318
EG10884	b3309
EG10885	b2185
EG10886	b3637
EG10887	b3312
EG10888	b3302
EG10889	b3936
EG10890	b1089
EG10891	b3636
EG10892	b3703
EG10900	b0911
EG10901	b0169
EG10902	b3314
EG10903	b3296
EG10904	b3303
EG10905	b4200
EG10906	b3341
EG10907	b3306
EG10908	b3230
EG10909	b3321
EG10910	b3297
EG10911	b3342
EG10912	b3298
EG10913	b3307
EG10914	b3165
EG10915	b2609
EG10916	b3311
EG10917	b4202
EG10918	b3316
EG10919	b0023
EG10920	b3065
EG10942	b3590
EG11033	b0170
EG11036	b3339
EG11037	b3980
EG11087	b0097
EG11128	b1282
EG11151	b2597
EG11231	b1717
EG11232	b3299
EG11404	b1203
EG11508	b1480
EG12099	b4147
EG12114	b4375
EG12223	b3486
EG12424	b1212
EG50001	b3186
EG50002	b3185
EG50004	b0953
EG10146	b1888
EG10147	b1883
EG10148	b1884
EG10151	b1881
EG10269	b3404
EG10488	b2753
EG10516	b0695
EG10570	b0168
EG10730	b4399
EG10732	b1129
EG10850	b4373
EG10851	b1066
EG10852	b0852
EG10853	b1427
EG11233	b1609
EG11367	b2786
EG11440	b3287
EG11497	b3259
EG11610	b2370
EG11614	b4112
EG11617	b2078
EG11826	b0981
EG11831	b3859
EG12007	b2126
EG12147	b3206
EG12360	b2236
EG12385	b2216
EG12449	b2330
EG12658	b3026
G6318	b0570
G6340	b0614
G6344	b0618
G6345	b0619
G6503	b0982
G7011	b1838
G7056	b1968
G7176	b2269
G7211	b2340
G7320	b2512
G7345	b2556
G7414	b2717
G7415	b2734
EG10090	b3800
EG10240	b0015
EG10241	b0014
EG10310	b4316
EG10416	b2614
EG10455	b0178
EG10461	b0473
EG10599	b4143
EG10600	b4142
EG10689	b2743
EG10741	b4235
EG10757	b3363
EG10758	b0525
EG10985	b0053
EG11003	b0436
EG11070	b2893
EG11080	b0028
EG11197	b3705
EG11297	b3860
EG11433	b4219
EG11570	b0055
EG11663	b3349
EG11803	b2992
EG11973	b0140
EG11989	b2110
EG12130	b2526
EG12143	b2207
EG12193	b1000
EG12194	b0999
EG12195	b0998
EG12200	b2069
EG12311	b2524
EG12352	b3775
EG12394	b1778
EG12397	b0944
G6242	b0441
G6268	b0492
G6291	b0531
G6333	b0604
G6353	b0646
G6356	b0649
G6386	b0717
G6481	b0939
G6787	b1497
G7055	b1967
G7207	b2336
G7586	b3047
G7638	b3143
G7716	b3347
G7744	b3401
G7865	b4207
G7866	b4209
G7949	b4367
EG10300	b2610
EG10346	b3464
EG10530	b2568
EG10548	b0027
G7539	b2972
EG11113	b0970
EG11782	b2620
G6493	b0955
EG11016	b1229
EG12048	b2186
G6207	b0354
EG11153	b2608
EG10596	b1176
EG10597	b1175
EG10711	b4108
EG12402	b1217
G0-10201	b4616
G0-10574	b4603
G6577	b1120
G6623	b1194
G6784	b1490
G6869	b1625
G7063	b1976
G0-10592	b4597
EG11251	b1214
EG11432	b2399
EG11450	b3764
EG12006	b2125
EG12179	b0623
EG12431	b1299
EG12624	b3555
G0-9621	b4501
G6153	b0282
G6165	b0294
G6384	b0715
G6405	b0788
G6569	b1111
G6630	b1213
G6680	b1356
G6745	b1434
G6774	b1477
G6853	b1595
G6889	b1649
G7344	b2550
G7397	b2667
G7472	b2852
G7572	b3022
G7601	b3082
G7657	b3190
G7869	b4212
G7909	b4295
G7944	b4357
G7951	b4377
EG10510	b2741
EG12094	b0069
G6494	b0959
EG11320	b0413
G7137	b2105
EG12712	b2687
G6209	b0357
EG10018	b3252
EG12146	b3205
EG12866	b1831
G0-10580	b4637
G0-8910	b4441
G6871	b1627
G6872	b1628
G6873	b1629
G6874	b1630
G6875	b1631
G6876	b1632
EG10983	b2533
EG10149	b1887
EG10170	b3806
EG10255	b2209
EG10987	b1885
EG10988	b1886
EG11018	b1421
EG11034	b4355
EG11238	b0773
EG11256	b0382
G6301	b0545
EG10535	b1139
EG11260	b3765
G0-9581	b4413
G0-9603	b4420
G0-9606	b4422
G0-9608	b4424
G0-9611	b4429
G0-9941	b4577
G7045	b1952
EG11162	b2929
EG11181	b3337
EG11257	b0385
EG11356	b1921
EG11390	b3495
EG11431	b2398
EG11512	b0010
EG11731	b3746
EG11733	b3755
EG11889	b3507
G6273	b0502
G6444	b0846
G6513	b0992
G6532	b1025
G6606	b1166
G6749	b1438
G6936	b1731
G7243	b2380
G7467	b2847
G7571	b3021
G7595	b3072
G7656	b3183
G7689	b3244
G7715	b3346
G7947	b4365
EG10167	b0598
EG10297	b0587
EG11338	b1051
EG11445	b2918
EG12875	b0772
G6193	b0328
G6321	b0573
G6674	b1342
G7685	b3240
G7686	b3241
G7921	b4311
EG10601	b1890
EG10602	b1889
EG11160	b2924
EG11180	b3291
EG11606	b1250
EG12331	b0155
EG13270	b0875
G6255	b0465
G6850	b1592
EG10126	b3966
EG10286	b4291
EG10293	b0584
EG10302	b0150
EG10528	b4036
EG10669	b0957
EG10670	b2215
EG10671	b0929
EG10729	b0241
EG11008	b0740
EG11009	b3035
EG11124	b1256
EG11364	b3720
EG12020	b2138
G6414	b0805
G6657	b1319
G6700	b1377
G6762	b1451
G7814	b3875
EG12340	b0262
G6270	b0496
EG10290	b4287
EG10295	b0588
EG10304	b0151
EG10340	b3463
EG10713	b4106
EG11621	b0199
EG11657	b0495
EG11680	b3201
EG12010	b2129
EG12041	b2180
EG12320	b0127
EG12343	b4391
EG12347	b1917
EG12518	b4485
EG12801	b3195
EG12837	b3271
EG12903	b3352
G6248	b0448
G6266	b0490
G6411	b0794
G6423	b0820
G6429	b0829
G6574	b1117
G6656	b1318
G6752	b1441
G6777	b1483
G6778	b1484
G6800	b1513
G6951	b1756
G7341	b2547
EG10012	b0886
EG10613	b0914
EG10928	b0377
EG11405	b0887
EG11622	b0449
EG11742	b1496
EG12070	b2211
G6462	b0879
G7659	b3192
EG10002	b0764
EG10288	b4289
EG10289	b4288
EG10296	b0590
EG10298	b0589
EG10303	b0153
EG10345	b3462
EG11283	b4104
EG11737	b0198
EG11767	b3485
EG12009	b2128
EG12011	b2130
EG12038	b2178
EG12040	b2179
EG12076	b3477
EG12077	b3478
EG12321	b0128
EG12368	b1859
EG12439	b4231
EG12520	b4230
EG12625	b3543
EG12626	b3542
EG12800	b3194
EG12835	b3269
EG12836	b3270
G6409	b0792
G6410	b0793
G6432	b0832
G6573	b1116
G6575	b1118
G6649	b1311
G6650	b1312
G6753	b1442
G6754	b1443
G6779	b1485
G6780	b1486
G6801	b1514
G6802	b1515
G6950	b1755
G7037	b1918
G7340	b2546
G7664	b3199
EG10287	b4290
EG10294	b0592
EG10305	b0152
EG10554	b4034
EG10714	b4105
EG11504	b0197
EG12012	b2131
EG12037	b2177
EG12075	b3476
EG12334	b0158
EG12517	b4227
EG12799	b3193
G6430	b0830
G6648	b1310
G6751	b1440
G6781	b1487
G6803	b1516
G7017	b1857
G7039	b1920
G7342	b2548
G7570	b3020
G7665	b3200
EG10513	b0698
EG10514	b0697
EG10515	b0696
G0-10439	b4513
G6260	b0484
EG12236	b3502
G6421	b0818
EG10766	b3300
EG10936	b0098
EG10937	b3609
EG10938	b0408
EG10939	b3981
EG10940	b0409
EG11096	b0407
EG12095	b3175
EG10014	b2470
EG10132	b4132
EG10250	b2365
EG10267	b3266
EG10521	b0047
EG10652	b0019
EG10802	b1015
EG11019	b3290
EG11020	b1363
EG11021	b3849
EG11104	b0591
EG11159	b2923
EG11194	b3654
EG11242	b0898
EG11262	b3364
EG11305	b0627
EG11343	b1053
EG11354	b2685
EG11392	b1186
EG11419	b2182
EG11439	b2686
EG11459	b3795
EG11479	b3839
EG11541	b3747
EG11555	b0007
EG11566	b0045
EG11616	b4148
EG11639	b1533
EG11640	b1534
EG11686	b3657
EG11687	b3659
EG11689	b3662
EG11693	b3673
EG11703	b0463
EG11704	b0462
EG11706	b3679
EG11720	b3710
EG11732	b3754
EG11753	b1216
EG11821	b0451
EG11840	b3874
EG11841	b3876
EG11842	b3877
EG11873	b3915
EG11883	b1429
EG11896	b2014
EG11919	b4020
EG11940	b4065
EG11942	b4067
EG11953	b4081
EG12029	b2161
EG12032	b2164
EG12134	b0813
EG12136	b2077
EG12141	b1660
EG12219	b3473
EG12232	b3496
EG12241	b3514
EG12249	b3523
EG12266	b3539
EG12268	b3547
EG12281	b3577
EG12282	b3578
EG12283	b3579
EG12367	b0575
EG12369	b1769
EG12380	b3415
EG12392	b1206
EG12393	b3063
EG12400	b1663
EG12462	b4115
EG12469	b4130
EG12475	b4156
EG12539	b4265
EG12544	b4279
EG12548	b4296
EG12563	b4321
EG12576	b4337
EG12587	b4356
EG12623	b0478
EG12631	b4476
EG12713	b1473
EG12720	b3078
EG12754	b3110
EG12802	b3196
EG12853	b1336
EG12908	b3370
EG13174	b2775
EG13283	b2367
EG20053	b3691
EG20110	b3350
G6142	b0270
G6241	b0427
G6256	b0479
G6280	b0511
G6393	b0752
G6400	b0770
G6440	b0842
G6466	b0899
G6517	b1006
G6559	b1065
G6620	b1191
G6643	b1296
G6744	b1433
G6786	b1492
G6817	b1543
G6854	b1596
G6857	b1599
G6858	b1600
G6861	b1605
G6877	b1634
G6893	b1657
G6916	b1690
G6917	b1691
G6962	b1775
G6977	b1791
G6987	b1801
G7004	b1828
G7070	b1985
G7114	b2075
G7115	b2076
G7130	b2098
G7159	b2246
G7198	b2322
G7235	b2372
G7254	b2392
G7309	b2492
G7330	b2536
G7404	b2681
G7421	b2740
G7437	b2771
G7465	b2845
G7501	b2882
G7507	b2888
G7679	b3227
G7806	b3836
G7808	b3838
EG10271	b3006
EG10272	b3005
G6525	b1016
EG11709	b3682
EG11710	b3683
EG11863	b3899
EG11908	b3949
EG12260	b3533
EG12322	b0129
EG12494	b4194
EG12495	b4195
EG12554	b4302
EG12556	b4304
EG12766	b3135
EG12769	b3138
EG12770	b3139
G0-10241	b4565
G7246	b2383
G7250	b2387
G7856	b4193
EG10629	b0543
EG11735	b1019
G6461	b0878
G6527	b1018
EG10155	b2155
EG11167	b3040
EG11463	b3816
EG12101	b3408
EG12102	b3409
G6464	b0890
G7097	b2046
EG10607	b0634
EG11141	b1959
EG11373	b2558
EG11400	b3508
EG11466	b3819
EG11471	b3827
EG11499	b3184
EG11536	b3685
EG11599	b1532
EG11637	b1529
EG11671	b2223
EG11682	b3204
EG11691	b3664
EG11724	b3714
EG11798	b0106
EG11891	b2008
EG11895	b2013
EG11902	b3943
EG11918	b4002
EG11939	b4064
EG11977	b1950
EG11998	b2119
EG12016	b2135
EG12024	b2142
EG12025	b2144
EG12173	b3334
EG12220	b3474
EG12376	b2410
EG12445	b2578
EG12455	b2835
EG13217	b0445
G6137	b0263
G6178	b0308
G6267	b0491
G6282	b0513
G6322	b0574
G6323	b0577
G6403	b0786
G6417	b0808
G6431	b0831
G6443	b0845
G6445	b0847
G6465	b0891
G6489	b0949
G6495	b0960
G6529	b1022
G6542	b1036
G6543	b1037
G6544	b1038
G6545	b1039
G6561	b1069
G6572	b1115
G6666	b1330
G6758	b1447
G6859	b1601
G6885	b1645
G6934	b1729
G6945	b1750
G6949	b1754
G6984	b1798
G6997	b1816
G7108	b2063
G7171	b2258
G7186	b2292
G7190	b2298
G7201	b2326
G7233	b2368
G7251	b2389
G7310	b2493
G7374	b2639
G7403	b2680
G7405	b2682
G7460	b2832
G7503	b4464
G7526	b2950
G7534	b2966
G7535	b2968
G7537	b2970
G7541	b4466
G7549	b2983
G7690	b4472
G7701	b3323
G7702	b3324
G7703	b3325
G7704	b3326
G7705	b3327
G7706	b3328
G7707	b3329
G7708	b3330
G7709	b3331
G7710	b3332
G7711	b3333
G7729	b3377
G7767	b3472
G7833	b4141
G7840	b4159
G7867	b4210
G7929	b4332
G7946	b4364
EG11498	b3262
EG10201	b0632
EG10203	b0839
EG10307	b3361
EG10339	b0094
EG10342	b0093
EG10344	b0089
EG10347	b0095
EG10598	b1174
EG10608	b3251
EG10618	b0924
EG10955	b3129
EG11086	b0083
EG11183	b3388
EG11191	b3641
EG11203	b3865
EG11376	b3017
EG11507	b3179
EG11529	b3933
EG12209	b0624
EG12261	b3534
EG12297	b3613
EG12371	b3163
EG12878	b2910
G0-10261	b4520
G7258	b2412
G7424	b2748
EG10571	b2783
EG11244	b2922
EG11250	b4224
EG11398	b3510
EG11933	b4050
EG12844	b2017
G0-9121	b4539
G6334	b0607
G6743	b1432
G7459	b2830
G7873	b4218
EG10270	b2566
G7498	b2879
EG10150	b1882
EG12002	b2121
EG12252	b3525
EG12403	b1218
EG10780	b1308
EG11100	b0471
EG11246	b1333
EG11877	b3923
EG12231	b3494
G6570	b1112
G6783	b1489
G7031	b1895
G7061	b1973
EG10679	b1283
EG10680	b1482
EG11391	b4376
EG11886	b1049
EG10462	b1829
EG11534	b3687
EG11535	b3686
G6470	b0909
G6511	b0990
G6702	b1379
G6825	b1552
G7647	b3153
G7743	b3400
EG10978	b3228
EG11890	b3506
G6838	b1580
G6839	b1581
EG10131	b4131
EG11399	b3509
EG11422	b2237
EG11490	b1493
EG11495	b3511
EG11501	b4117
EG50009	b3517
G6855	b1597
G7607	b3088
EG12177	b4137
EG12657	b3029
G7193	b2301
G7194	b2302
EG10113	b3336
EG10921	b1905
EG11105	b0597
G7033	b1902
EG11266	b3615
EG12244	b3518
G6104	b0220
EG10108	b2480
EG10509	b1732
EG10511	b3942
EG10953	b3908
EG10954	b1656
EG11384	b0605
EG11723	b3713
EG11852	b3887
EG12026	b2154
EG12137	b0192
EG12600	b4394
G6208	b0355
G6660	b1324
G6878	b1635
G6886	b1646
G6932	b1727
G7024	b1874
G7287	b2457
G7312	b2495
G7497	b2878
G7499	b2880
G7558	b3001
EG10373	b0018
G0-9041	b4453
G0-9563	b4412
G0-9602	b4419
G0-9605	b4421
G0-9607	b4423
G0-9610	b4428
G0-9613	b4455
G6109	b0225
G6110	b0226
G6117	b0233
G6120	b0245
G6121	b0246
G6619	b1182
G7084	b2004
G7085	b2005
G7358	b2619
G7381	b2646
EG10042	b0111
EG11665	b3057
EG11884	b1430
EG12237	b3503
EG12867	b0376
G0-9561	b4409
G7172	b2259
EG11775	b0685
G0-9962	b4618
G6933	b1728
EG12257	b3530
G6548	b1043
EG10145	b4400
EG10169	b2313
EG10952	b2617
EG11007	b0739
EG11010	b0737
EG11011	b0738
EG11012	b1252
EG11123	b1255
EG11186	b3562
EG11613	b4114
EG11739	b0569
EG11824	b3009
EG11914	b3955
EG12017	b2136
EG12120	b1234
EG12217	b3471
EG12315	b0117
EG12442	b4461
EG12709	b1958
G6093	b0177
G6265	b0489
G6320	b0572
G6361	b0658
G6404	b0787
G6418	b0815
G6508	b0987
G6863	b1607
G6975	b1789
G7028	b1880
G7113	b2074
G7138	b2106
G7337	b2543
G7559	b3002
G7617	b3103
G7618	b3104
G7655	b3173
G7753	b3434
G7832	b4140
G7849	b4184
G7889	b4262
G7933	b4336
EG11893	b2010
EG11351	b3628
EG11352	b3627
EG11353	b3626
EG11455	b3790
EG10229	b2321
EG10308	b4314
EG10311	b4317
EG10313	b4318
EG10314	b4319
EG11156	b2825
EG11678	b0135
EG11972	b0139
EG11974	b4315
EG12081	b2826
EG12106	b0107
EG12107	b0108
EG12327	b0138
EG12328	b0141
EG12363	b3043
EG12388	b0534
G6164	b0293
G6290	b0530
G6480	b0938
G6483	b0941
G6484	b0942
G6485	b0943
G6793	b1503
G6794	b1504
G7204	b2333
G7205	b2334
G7206	b2335
G7210	b2339
G7637	b3142
G7640	b3145
G7319	b2511
EG10412	b3500
EG11110	b0736
EG11540	b1004
EG11548	b1653
G6992	b1808
G7451	b2793
EG11542	b0494
EG11820	b1056
EG12854	b0742
EG12859	b1424
G7059	b1971
EG10015	b2516
EG10218	b2314
EG10266	b3265
EG10397	b3424
EG10657	b3661
EG10779	b1307
EG10854	b0633
EG10951	b4387
EG11133	b1708
EG11267	b3563
EG11345	b1132
EG11465	b3818
EG11764	b3597
EG11851	b3886
EG11954	b4082
EG12224	b3487
EG12240	b3513
EG12290	b3586
G6126	b0251
G6287	b0518
G6528	b1021
G6530	b1023
G6840	b1582
G6866	b1615
G7060	b1972
G7216	b2346
G7371	b2636
G7608	b3090
G7681	b3233
EG10658	b2477
EG10684	b0741
EG11293	b1209
EG11740	b0568
EG11952	b4080
EG11987	b2108
EG11988	b2109
EG12111	b2742
EG12117	b0814
EG12444	b1110
G6210	b0358
G6292	b0532
G6370	b0681
G6387	b0718
G6412	b0795
G6482	b0940
G6531	b1024
G6629	b1202
G6881	b1641
G7147	b2175
G7163	b2250
G7316	b2505
G7352	b2595
G7484	b2865
G7567	b3014
G7639	b3144
G7837	b4149
G7874	b4220
EG10227	b1575
EG10228	b1569
EG10507	b0537
EG10573	b1159
EG10659	b0553
EG10737	b1158
EG10813	b1351
EG11120	b1156
EG11129	b1561
EG11130	b1562
EG11300	b1571
EG11301	b1572
EG11302	b1573
EG11303	b1576
EG11304	b1577
EG11634	b1548
EG11635	b0560
EG11783	b2622
EG11899	b1349
EG11900	b1348
EG11901	b1347
EG12154	b1353
EG12155	b1352
EG12203	b1557
EG12205	b1558
EG12338	b0267
EG12339	b0266
EG12364	b4271
EG12370	b1140
EG12877	b1154
G0-10435	b4509
G0-10436	b4510
G0-10452	b4533
G0-10584	b4588
G6122	b0247
G6123	b0248
G6124	b0249
G6125	b0250
G6127	b0252
G6128	b0253
G6129	b0254
G6130	b0255
G6131	b0256
G6132	b0257
G6133	b0258
G6134	b0259
G6140	b0268
G6141	b0269
G6147	b0276
G6148	b0277
G6149	b0278
G6150	b0279
G6151	b0280
G6152	b0281
